train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_satisfaction,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_system_delay_overhead_s_per_slot,train_delay_sum_s,train_avg_completed_e2e_delay_s,train_p95_completed_e2e_delay_s,train_delay_samples,train_system_energy_overhead_kj_per_slot,train_total_dynamic_energy_j,train_energy_comp_j,train_energy_trans_j,train_cumulative_lifetime_loss,train_cum_hl_mean_satellite,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
1920,29,30,364.57787669296465,5.696529323327573,0.7341411261582323,0.7341411261582323,1403,1030,356,0,57.296875,3667.0,3.5601941747572816,5.0,1030,0.029095399459575698,1862.1055654128447,1815.6315414077185,46.47402400512719,0.017673516347139092,0.0007069406538855636,1.1045947716961932e-05,0.306149907003586,64
1984,30,31,358.5926345398435,5.603009914685055,0.7412280701754386,0.7412280701754386,1368,1014,361,0,58.125,3720.0,3.668639053254438,5.0,1014,0.028574041632229936,1828.7386644627159,1780.1384950157378,48.600169446978136,0.015409442277135291,0.0006163776910854116,9.630901423209557e-06,0.3045681589938768,64
2048,31,32,354.3533319450007,5.536770811640636,0.7201704545454546,0.7201704545454546,1408,1014,383,0,58.265625,3729.0,3.6775147928994083,5.0,1014,0.028147467397667613,1801.4379134507271,1751.592456761812,49.84545668891459,0.015557085435337294,0.0006222834174134917,9.723178397085808e-06,0.30264760415450637,64
2112,32,33,352.9042770572079,5.514129329018873,0.7257264351523742,0.7257264351523742,1411,1024,405,0,60.234375,3855.0,3.7646484375,5.0,1024,0.03156338103966868,2020.0563865387953,1969.0454765493569,51.01090998943797,0.017235518433994967,0.0006894207373597987,1.0772199021246855e-05,0.300982820448922,64
2176,33,34,401.25298694967466,6.269577921088667,0.749667994687915,0.749667994687915,1506,1129,378,0,65.546875,4195.0,3.7156775907883084,5.0,1129,0.036479641357662136,2334.697046890377,2281.1494100428886,53.54763684748799,0.020908820822315422,0.0008363528328926169,1.306801301394714e-05,0.2999068758726591,64
2240,34,35,396.06663277293967,6.188541137077182,0.7536032944406315,0.7536032944406315,1457,1098,346,0,61.828125,3957.0,3.6038251366120218,5.0,1098,0.02910634143572468,1862.8058518863795,1812.9407747798853,49.865077106493686,0.017867092889672503,0.0007146837155869002,1.1166933056045316e-05,0.2985231116893763,64
2304,35,36,371.9763787782126,5.812130918409572,0.7731029301277235,0.7731029301277235,1331,1029,311,0,56.03125,3586.0,3.4849368318756073,5.0,1029,0.028655328751075647,1833.9410400688414,1790.8604401104176,43.08059995842443,0.018921195509145318,0.0007568478203658127,1.1825747193215823e-05,0.2967703539792616,64
2368,36,37,376.11388737525874,5.876779490238418,0.7736411020104245,0.7736411020104245,1343,1039,323,0,57.4375,3676.0,3.538017324350337,5.0,1039,0.028626307555698536,1832.0836835647062,1787.8392486647863,44.24443489991971,0.016934966411851073,0.0006773986564740429,1.0584354007406921e-05,0.2959822245200645,64
2432,37,38,382.6706904143236,5.979229537723806,0.7482468443197756,0.7482468443197756,1426,1067,339,0,57.5,3680.0,3.4489222118088096,5.0,1067,0.0316847536916739,2027.82423626713,1982.3354998526383,45.48873641449218,0.019342178216937445,0.0007736871286774978,1.2088861385585903e-05,0.2954086194414104,64
2496,38,39,387.4824905634375,6.054413915053711,0.7682838522809559,0.7682838522809559,1381,1061,304,0,55.875,3576.0,3.3704052780395855,5.0,1061,0.02951073685306906,1888.6871585964197,1846.2978233979616,42.38933519845787,0.018887860622178874,0.000755514424887155,1.1804912888861796e-05,0.2946274183887253,64
2560,39,40,405.4458200297077,6.335090937964183,0.7841625788367204,0.7841625788367204,1427,1119,336,0,58.890625,3769.0,3.3681858802502234,5.0,1119,0.03250153354010793,2080.0981465669074,2036.0664156906398,44.031730876267495,0.02043323880654196,0.0008173295522616784,1.2770774254088726e-05,0.2935113564729239,64
2624,40,41,402.5468580825514,6.289794657539866,0.775654635527247,0.775654635527247,1413,1096,304,0,57.875,3704.0,3.3795620437956204,5.0,1096,0.029809429825769004,1907.8035088492163,1864.4815048995883,43.32200394962802,0.01949434267759736,0.0007797737071038945,1.2183964173498352e-05,0.2921497645659897,64
2688,41,42,401.26292962854046,6.269733275445945,0.7680555555555556,0.7680555555555556,1440,1106,324,0,61.703125,3949.0,3.5705244122965643,5.0,1106,0.03243172833263739,2075.630613288793,2027.8270059326444,47.80360735614955,0.021475339145198388,0.0008590135658079355,1.3422086965748992e-05,0.2904218115435877,64
2752,42,43,378.3057872662556,5.911027926035244,0.7542735042735043,0.7542735042735043,1404,1059,346,0,59.484375,3807.0,3.594900849858357,5.0,1059,0.029015003494156442,1856.9602236260123,1809.969178102054,46.99104552395875,0.0186826591154716,0.000747306364618864,1.167666194716975e-05,0.28837919461088124,64
2816,43,44,369.9502400752678,5.780472501176059,0.7496392496392497,0.7496392496392497,1386,1039,346,0,58.578125,3749.0,3.60827718960539,5.0,1039,0.028026185769627582,1793.6758892561652,1747.3620167383958,46.3138725177702,0.01809380821096522,0.0007237523284386088,1.1308630131853263e-05,0.28616049564999757,64
2880,44,45,352.772811325211,5.512075176956422,0.7212885154061625,0.7212885154061625,1428,1030,411,0,60.734375,3887.0,3.7737864077669903,5.0,1030,0.030349656795218078,1942.378034893957,1889.6178444913483,52.76019040260766,0.018505385369388377,0.000740215414775535,1.1565865855867734e-05,0.2844306372835502,64
2944,45,46,340.07091313025614,5.313608017660252,0.7179115300942712,0.7179115300942712,1379,990,388,0,57.3125,3668.0,3.705050505050505,5.0,990,0.02957085657065225,1892.534820521744,1842.5722550414607,49.96256548028337,0.018093414647649075,0.0007237365859059631,1.1308384154780673e-05,0.2824248219058311,64
3008,46,47,373.0148874233946,5.828357615990541,0.7469793887704336,0.7469793887704336,1407,1051,359,0,59.5625,3812.0,3.6270218839200763,5.0,1051,0.029429904370932326,1883.513879739669,1836.2996068716755,47.2142728679939,0.018037684255361987,0.0007215073702144794,1.1273552659601241e-05,0.2801711579749272,64
