train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_avg_delay_s,train_p95_delay_s,train_delay_samples,train_total_energy_j,train_energy_comp_j,train_energy_trans_j,train_avg_energy_j_per_slot,train_cum_hl_mean_satellite,train_cum_hl_system,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
4800,74,75,-327.2190144080806,-5.11279710012626,0.7575129533678756,965,731,229,0,3.7948016415868673,6.0,731,5786.638607901886,5758.329440016386,28.309167885499598,90.41622824846696,0.004741524485488156,0.1185381121372039,7.408632008575244e-05,0.3967238317945578,64
4864,75,76,-373.99570809463,-5.843682938978594,0.7838405036726128,953,747,215,0,3.7938420348058903,6.0,747,6538.154267386571,6510.562866411361,27.59140097521045,102.15866042791517,0.005265299691818368,0.1316324922954592,8.2270307684662e-05,0.3965783255691103,64
4928,76,77,-367.9509321213659,-5.749233314396342,0.7840083073727934,963,755,214,0,3.6635761589403972,6.0,755,6569.182797246644,6541.851331782942,27.3314654637031,102.64348120697882,0.0052241759124702775,0.13060439781175692,8.162774863234809e-05,0.39690725082917766,64
4992,77,78,-320.8832433092079,-5.013800676706373,0.7841648590021691,922,723,191,0,3.73582295988935,6.0,723,5649.836712769977,5623.246291642343,26.59042112763594,88.27869863703089,0.00470324073472603,0.11758101836815076,7.348813648009422e-05,0.3967248934491691,64
5056,78,79,-237.00795495351963,-3.703249296148744,0.7415966386554622,952,706,230,0,3.7039660056657224,6.0,706,4922.059487977745,4893.596222039104,28.46326593864191,76.90717949965227,0.003777723485562461,0.09444308713906152,5.9026929461913455e-05,0.395281555578029,64
5120,79,80,-288.0640657036626,-4.501001026619728,0.7771855010660981,938,729,219,0,3.8353909465020575,6.0,729,5860.086904872833,5833.11394195017,26.972962922665044,91.56385788863801,0.004358144679754888,0.10895361699387221,6.809601062117013e-05,0.3944013977154335,64
5184,80,81,-232.39689022645604,-3.6312014097883756,0.7950108459869848,922,733,187,0,3.7121418826739427,6.0,733,5388.661293382881,5363.335101123912,25.32619225897063,84.19783270910752,0.003850823093829471,0.09627057734573677,6.016911084108548e-05,0.39444149771926507,64
5248,81,82,-258.3978827979703,-4.037466918718286,0.7833511205976521,937,734,213,0,3.7534059945504086,6.0,734,4981.3025322707435,4954.620923937639,26.681608333103025,77.83285206673037,0.004081896555586145,0.10204741388965362,6.377963368103351e-05,0.39437354552597625,64
5312,82,83,-292.49311541823647,-4.570204928409945,0.8010050251256281,995,797,193,0,3.776662484316186,6.0,797,5710.394995362094,5681.38529295384,29.009702408258658,89.22492180253272,0.004596620911656454,0.11491552279141136,7.18222017446321e-05,0.39380242777939256,64
5376,83,84,-295.3074585193234,-4.614179039364428,0.7842920353982301,904,709,199,0,3.693935119887165,6.0,709,5199.985806714924,5174.503875596817,25.48193111810471,81.2497782299207,0.004405635803421342,0.11014089508553356,6.883805942845847e-05,0.3944322944224369,64
5440,84,85,-192.71210025613686,-3.0111265665021385,0.7657754010695187,935,716,211,0,3.7681564245810057,6.0,716,4769.793795156457,4742.340822400326,27.452972756129874,74.52802804931964,0.003384305986805519,0.08460764967013798,5.2879781043836235e-05,0.3943280489383646,64
5504,85,86,-269.01988835321066,-4.203435755518917,0.7770491803278688,915,711,202,0,3.821378340365682,6.0,711,5259.290386336096,5231.558576545819,27.731809790279396,82.1764122865015,0.004145733556512775,0.10364333891281936,6.47770868205121e-05,0.39454753817428795,64
5568,86,87,-215.88175376751065,-3.373152402617354,0.7873754152823921,903,711,200,0,3.749648382559775,6.0,711,4969.404471024988,4943.814956805172,25.589514219818575,77.64694485976544,0.0036166994472174568,0.09041748618043642,5.651092886277276e-05,0.3953580275738756,64
5632,87,88,-233.99863109735384,-3.6562286108961537,0.7697228144989339,938,722,224,0,3.822714681440443,6.0,722,5379.939813355173,5352.517946684019,27.42186667115256,84.06155958367458,0.0037965964889571492,0.09491491222392873,5.932182013995546e-05,0.39671449984692886,64
5696,88,89,-207.42699054663044,-3.2410467272911005,0.7731629392971247,939,726,209,0,3.690082644628099,6.0,726,5466.213556635944,5439.729368116508,26.484188519434205,85.40958682243662,0.003556147257803201,0.08890368144508003,5.5564800903175016e-05,0.39819090700082055,64
5760,89,90,-196.5556238529805,-3.07118162270282,0.7872105843439912,907,714,203,0,3.6106442577030813,6.0,714,4987.149371621092,4961.917401368591,25.231970252502105,77.92420893157956,0.0034280227037688593,0.08570056759422148,5.356285474638843e-05,0.3995012944979112,64
5824,90,91,-263.40749991060284,-4.115742186103169,0.7342888643880926,907,666,218,0,3.7582582582582584,6.0,666,5171.23371253349,5144.669899865156,26.56381266833296,80.80052675833578,0.003961802611394659,0.09904506528486648,6.190316580304155e-05,0.4000562626362224,64
5888,91,92,-201.6637241498173,-3.1509956898408955,0.7809734513274337,904,706,186,0,3.6586402266288953,6.0,706,4664.365060279368,4638.5835741384735,25.781486140896497,72.88070406686512,0.0034791897019454624,0.08697974254863657,5.436233909289785e-05,0.40006628360866653,64
5952,92,93,-174.91276160956883,-2.733011900149513,0.8070562293274531,907,732,190,0,3.849726775956284,6.0,732,4707.344309632615,4680.010794406802,27.333515225813343,73.5522548380096,0.0032736428874507394,0.08184107218626849,5.11506701164178e-05,0.39953797483900666,64
6016,93,94,-176.39604743904482,-2.7561882412350753,0.7844925883694412,877,688,201,0,3.8357558139534884,6.0,688,4685.077881367493,4658.097505541274,26.98037582621956,73.20434189636708,0.003166429699940424,0.0791607424985106,4.947546406156912e-05,0.3988396687645335,64
6080,94,95,-289.16768461175025,-4.518245072058598,0.7654584221748401,938,718,222,0,3.788300835654596,6.0,718,6213.16037209384,6184.610370778369,28.550001315473587,97.08063081396625,0.004341643688849349,0.10854109222123373,6.783818263827108e-05,0.3984641872452194,64
6144,95,96,-229.13751153917372,-3.5802736177995893,0.7672413793103449,928,712,210,0,3.6474719101123596,6.0,712,5483.985287417144,5458.4549777552365,25.530309661904987,85.68727011589287,0.0037396963266269124,0.09349240816567281,5.8432755103545506e-05,0.398507809234384,64
6208,96,97,-203.91212371984705,-3.18612693312261,0.7789585547290117,941,733,206,0,3.82537517053206,6.0,733,5643.086768922695,5615.564026626679,27.52274229601374,88.17323076441711,0.0035437224949965364,0.0885930623749134,5.537066398432088e-05,0.3976451444597937,64
6272,97,98,-236.63913645648285,-3.6974865071325445,0.7730337078651686,890,688,202,0,3.752906976744186,6.0,688,5264.734650540168,5238.425221999778,26.309428540389582,82.26147891469013,0.0037698427406307666,0.09424606851576917,5.890379282235573e-05,0.39663349018324195,64
6336,98,99,-188.2005265038646,-2.9406332266228845,0.7756482525366404,887,688,205,0,3.6744186046511627,6.0,688,4351.1515035064895,4325.851408031507,25.30009547498297,67.9867422422889,0.0032794979023624583,0.08198744755906145,5.124215472441341e-05,0.39505590590542816,64
6400,99,100,-227.50889214791437,-3.554826439811162,0.7863777089783281,969,762,216,0,3.7244094488188977,6.0,762,6109.297689116829,6080.857186880516,28.44050223631564,95.45777639245046,0.0038364691507602544,0.09591172876900636,5.9944830480628976e-05,0.39280370044934176,64
