update,train_slots,actor_loss,critic_loss,ratio_mean,entropy_mean,buffer_task_size,buffer_slot_size
105,6720,-0.013753886497038048,1417.1513592529298,0.9990092120891394,0.5609577838764634,2712,1600
106,6784,-0.012967597448119992,211035.3671875,1.0019494326491105,0.5410473083979205,2405,1600
107,6848,-0.015124664537142962,71383.018984375,1.0008402965962886,0.5341381229460239,2505,1600
108,6912,-0.020916747722170642,20589.11140625,1.0004007397471248,0.551825202196031,2305,1600
109,6976,-0.018050401750952006,5403.1910009765625,1.00111965239048,0.5676372062414885,2511,1600
110,7040,-0.0012784524777427662,1501.8319946289062,0.9989217138567636,0.5576751765816711,2694,1600
111,7104,-0.016809292682787268,1186.4095452880858,1.0001197399162665,0.5333251487918016,2570,1600
112,7168,-0.01120350648354935,1041.364429321289,1.0000091242162805,0.5211332385477266,2422,1600
113,7232,-0.0146079364732453,1120.7596807861328,1.0010859624641697,0.5346316041015997,2621,1600
114,7296,-0.013640678899232732,1295.344058227539,0.9982608390408892,0.555959971145142,2712,1600
115,7360,-0.00966201178593243,860.4009100341797,1.0006212708426685,0.5564812014742595,2571,1600
116,7424,-0.013069486200082593,1438.8104064941406,1.000895660824892,0.5320471797774478,2619,1600
117,7488,-0.009264476065124785,1098.7047155761718,1.0002155708415168,0.5519044417000952,2645,1600
118,7552,-0.011552134715020656,859.5083270263672,0.9995567508041858,0.5402787163853645,2554,1600
119,7616,-0.011089277843576531,1189.250675048828,1.0011700301669364,0.5395444288503292,2717,1600
120,7680,-0.015395411720965058,1057.5050994873047,0.9998548664152622,0.5640792839229107,2512,1600
121,7744,-0.019484795793588902,275015.5753125,1.0011261427724683,0.47949289268738515,2321,1600
122,7808,-0.0129061343299376,85230.03828125,0.9998592911539851,0.49504488988502604,2337,1600
123,7872,-0.0090618782407163,25217.0817578125,0.9992567269425643,0.4963903929057874,2380,1600
124,7936,-0.012378925286037358,7290.435131835938,1.0004524690540213,0.5044371944509054,2392,1600
125,8000,-0.0072276908089406785,1180.0487689208985,0.9996638365089894,0.5182778507471084,2523,1600
