train_slot,env_slot,system_reward_sum,mean_agent_reward,arrived,done_tasks,slot_satisfied,completion_rate_episode,avg_dod,system_lifetime_loss,comp_energy_j,trans_energy_j,dynamic_energy_j
4037,196,164.4157252637766,6.5766290105510645,31,20,20,0.8214367160775371,0.35511418701710895,0.0022711363662551243,251.299724134508,0.4506748520052258,251.75039898651323
4038,197,62.11994744991017,2.484797897996407,21,13,13,0.8204720835224694,0.3551832532221792,0.00276083715061836,718.2272419020778,0.3154276423287651,718.5426695444066
4039,198,187.81404653495403,7.5125618613981615,26,25,25,0.8212996389891697,0.3553123891935735,0.003345541142168343,555.9180870383311,0.37219290687485923,556.290279945206
4040,199,144.14500516307547,5.765800206523019,24,17,17,0.8206912028725314,0.35531901555246465,0.001617028845321795,909.5988377609108,0.18014338767463797,909.7789811485854
4041,200,64.04585147762216,2.5618340591048865,22,21,21,0.8213488164359088,0.3556398787041513,0.006836433864784434,291.48467560529673,0.29570496966508314,291.78038057496184
4042,201,113.52950951395682,4.541180380558273,26,20,20,0.8210479573712256,0.3558369695655604,0.0045443515134100465,518.8550600930319,0.38487661013312124,519.239936703165
4043,202,91.14885138282044,3.6459540553128176,17,14,14,0.8210572882105729,0.3558255506725223,0.0018590288513976104,562.8260936461965,0.22810187388324885,563.0541955200797
4044,203,105.40462701748433,4.216185080699373,17,19,19,0.8221683561040106,0.3559386225263108,0.0036649024983907946,507.0066445139678,0.21257633582651564,507.2192208497943
4045,204,177.76662046744121,7.110664818697648,24,22,22,0.8226654975887768,0.35606072048070425,0.002695041982705681,496.10345001362737,0.307381910912203,496.4108319245396
4046,205,93.44102367615261,3.7376409470461045,25,17,17,0.8218879441901025,0.356217711297838,0.004135358068234125,594.4414978803048,0.2597863971253789,594.7012842774302
4047,206,81.50591915055351,3.2602367660221403,19,19,19,0.8226226660877117,0.3564575907283394,0.005114039026846042,532.2346495410446,0.2016236268731046,532.4362731679178
