train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_satisfaction,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_system_delay_overhead_s_per_slot,train_delay_sum_s,train_avg_completed_e2e_delay_s,train_p95_completed_e2e_delay_s,train_delay_samples,train_system_energy_overhead_kj_per_slot,train_total_dynamic_energy_j,train_energy_comp_j,train_energy_trans_j,train_cumulative_lifetime_loss,train_cum_hl_mean_satellite,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
4096,63,64,393.10448198361024,6.14225753099391,0.7887740029542097,0.7887740029542097,1354,1068,306,0,55.015625,3521.0,3.296816479400749,5.0,1068,0.03182026687678338,2036.4970801141362,1997.1672069683175,39.32987314581876,0.015888023582170337,0.0006355209432868136,9.930014738856462e-06,0.22677869788886834,64
4160,64,65,378.8221751789546,5.919096487171165,0.7532561505065123,0.7532561505065123,1382,1041,320,0,52.296875,3347.0,3.2151777137367916,5.0,1041,0.031187299495750234,1995.987167728015,1956.859690759509,39.127476968506826,0.015560903989893338,0.0006224361595957335,9.725564993683336e-06,0.22294969895861264,64
4224,65,66,405.3265307916155,6.333227043618992,0.7721872816212438,0.7721872816212438,1431,1105,327,0,55.125,3528.0,3.1927601809954753,5.0,1105,0.03463771421940374,2216.8137100418394,2176.774862001735,40.0388480401043,0.01649355341725351,0.0006597421366901405,1.0308470885783445e-05,0.21920836414675662,64
4288,66,67,419.0326059808619,6.547384468450967,0.7933709449929478,0.7933709449929478,1418,1125,294,0,53.703125,3437.0,3.055111111111111,5.0,1125,0.03775932563909657,2416.5968409021807,2380.3007759049565,36.29606499722381,0.018265446843254242,0.0007306178737301696,1.14159042770339e-05,0.2158895577434245,64
4352,67,68,424.82500134391955,6.637890645998743,0.8056737588652483,0.8056737588652483,1410,1136,295,0,56.359375,3607.0,3.175176056338028,5.0,1136,0.037032482026507614,2370.0788496964874,2332.9093793409575,37.16947035553001,0.017671851158289717,0.0007068740463315887,1.1044906973931073e-05,0.21300512138061767,64
4416,68,69,420.1799787795947,6.565312168431167,0.8013052936910805,0.8013052936910805,1379,1105,262,0,53.15625,3402.0,3.0787330316742083,5.0,1105,0.031465055849632856,2013.763574376503,1978.5243962532822,35.239178123220796,0.013953039625094794,0.0005581215850037918,8.720649765684247e-06,0.2098077692985113,64
4480,69,70,429.782535879419,6.715352123115922,0.7798657718120805,0.7798657718120805,1490,1162,332,0,58.3125,3732.0,3.2117039586919107,5.0,1162,0.03855370521865104,2467.4371339936665,2427.8050862529235,39.632047740742465,0.016289942518708238,0.0006515977007483296,1.018121407419265e-05,0.20642295912200553,64
4544,70,71,406.54786637001484,6.352310412031482,0.7731448763250883,0.7731448763250883,1415,1094,303,0,52.96875,3390.0,3.0987202925045705,5.0,1094,0.035189488309289293,2252.127251794515,2216.7544311019105,35.37282069260388,0.015244042115247894,0.0006097616846099157,9.527526322029934e-06,0.2034706135612201,64
4608,71,72,433.0355431664111,6.766180361975174,0.8199566160520607,0.8199566160520607,1383,1134,255,0,53.984375,3455.0,3.04673721340388,5.0,1134,0.03700773582750136,2368.495092960087,2334.817536613686,33.67755634640086,0.015753971656730814,0.0006301588662692326,9.846232285456759e-06,0.2004555695091429,64
4672,72,73,429.421797779418,6.709715590303406,0.8166064981949458,0.8166064981949458,1385,1131,272,0,56.234375,3599.0,3.1821396993810787,5.0,1131,0.03529814382748629,2259.0812049591227,2223.3430615607485,35.738143398374724,0.014413221509755299,0.000576528860390212,9.008263443597062e-06,0.19730933852232846,64
4736,73,74,419.3652489815212,6.552582015336268,0.8060029282576867,0.8060029282576867,1366,1101,259,0,52.71875,3374.0,3.0644868301544053,5.0,1101,0.03288678047785972,2104.7539505830223,2069.260525828278,35.4934247547444,0.013572039125760185,0.0005428815650304074,8.482524453600115e-06,0.19434945827590244,64
4800,74,75,441.8451426144891,6.903830353351392,0.8030513176144244,0.8030513176144244,1442,1158,274,0,57.375,3672.0,3.1709844559585494,5.0,1158,0.03427298885529332,2193.4712867387725,2154.511584286468,38.95970245230428,0.013388589695309195,0.0005355435878123678,8.367868559568246e-06,0.19120126091165576,64
